Date,Open,High,Low,Close,Volume,MACD,ADX,AO,ATR,OBV,MFI
12/24/2017 00:00:00,13123.1,14147.2,12973.3,14138.8,113,1558.934224228642,53.72308661930045,3114.5800000000017,1762.0860140213986,53866,22.666158651770672
12/25/2017 00:00:00,13985,14622.5,13162.3,13950.7,672,1305.2267307054499,50.73006638032932,2116.5629411764676,1740.5227273055843,53194,25.282463503430364
12/26/2017 00:00:00,13947.4,16131.3,13894.7,15790.5,3346,1238.3433471108638,47.20342926179744,1557.6044117647034,1775.9568182123282,56540,36.06127191078295
12/27/2017 00:00:00,15790.2,16499.1,14604,15390.7,2651,1139.9367833588567,44.140138660418536,1219.7005882352914,1784.467045482876,53889,37.56803741316439
12/28/2017 00:00:00,15391.6,15489.1,13497.5,14459,2301,975.5232444265566,41.339147787882965,1267.6397058823532,1799.2622565198133,51588,31.57445206979517
12/29/2017 00:00:00,14447.3,15092.6,13939.2,14278,2699,821.1533977482395,38.73822769195707,1270.691764705878,1753.1292381969693,48889,30.929820402685138
01/01/2018 00:00:00,13496.1,13610.8,13347.2,13378.2,78,619.0715703193782,36.67701378820449,1029.3867647058796,1694.3914354686144,48811,33.45789448356787
01/02/2018 00:00:00,13375.6,15196.7,12920.7,14707.6,868,559.7394084270309,34.377271321535105,665.6826470588203,1735.9349043637135,49679,32.79396750317579
01/03/2018 00:00:00,14678.7,15373.7,14555.7,15092.7,919,537.59552764611,32.347323012224756,347.55382352940796,1670.368125480591,50598,34.6117638155217
01/04/2018 00:00:00,15093.4,15366.9,14167.2,15106.7,890,515.2366976593912,30.195431226342585,206.20970588235286,1636.748973660549,51488,37.95340319418654
01/05/2018 00:00:00,15106.8,16880.2,14786.3,16781.9,871,625.4816405739639,29.09740689491852,279.37088235293777,1669.4026183990811,52359,45.74327074061896
01/07/2018 00:00:00,16140,16408.4,16099.1,16120.6,67,651.9746113409492,28.077812872881886,636.7502941176463,1598.9310027991467,52292,54.67649998990269
01/08/2018 00:00:00,16116.5,16227,13864.8,14940.1,919,571.1303620975214,26.496262663698978,679.8976470588186,1653.450216884922,51373,58.06726582678273
01/09/2018 00:00:00,14919.2,15321.2,14110.1,14396.2,770,457.894208278909,25.027680326600557,497.47588235293915,1621.853772821713,50603,56.405100703643164
01/10/2018 00:00:00,14358.6,14845.5,13387.5,14843.8,863,399.66423923835646,24.09068164358886,243.6717647058813,1610.1499319058764,51466,53.53228279505544
01/11/2018 00:00:00,14847,14913.8,12744.3,13242.9,782,221.78076789047918,23.58167248886798,-265.1888235294118,1650.1035081983139,50684,49.784471655708614
01/12/2018 00:00:00,13198.5,14065.6,12782.5,13697.2,719,116.1264154909677,23.10902113091288,-905.3641176470574,1623.8889718984344,51403,36.33809215341021
01/14/2018 00:00:00,13357.3,13650.2,13348.4,13572.4,61,22.069855457266385,22.670130584240287,-1279.8811764705897,1532.8111881914035,51342,22.599222586720146
01/15/2018 00:00:00,13572.3,14273.5,13342.4,13530.8,788,-55.191208448994075,21.720025835532905,-1523.9991176470594,1489.8318176063035,50554,32.28966600610072
01/16/2018 00:00:00,13532.5,13539.4,9975.8,11339.5,711,-289.8989797892373,22.61272559824159,-1964.3261764705876,1637.9581163487103,49843,39.725209826590266
01/17/2018 00:00:00,11337.1,11720.7,9124.9,11095.4,842,-489.9555074228847,23.767968420215023,-2506.9555882352943,1706.375393752374,49001,37.49891311190807
01/18/2018 00:00:00,11154.6,12007,10545.7,11207,1118,-632.2088495014068,24.597362063776966,-2813.945588235294,1688.8700084843474,50119,37.58305507134825
01/19/2018 00:00:00,11196.8,11885.3,10839.8,11309.5,1173,-728.2796007082088,25.367513304227344,-3127.8897058823495,1642.9150078783225,51292,37.368628794347345
01/21/2018 00:00:00,11321.7,11474.2,11119.6,11474.1,103,-782.1187408194273,26.082653741788413,-3485.37176470588,1550.8925073155854,51395,41.77686074057593
01/22/2018 00:00:00,11466.9,11831.9,9979.9,10742.8,1467,-873.7246911536386,27.248752381189462,-3478.1029411764703,1572.400185364472,49928,30.42551246881979
01/23/2018 00:00:00,10738.2,11338.4,9908.2,10782.4,1403,-932.3797839664403,28.361650477363153,-3259.8499999999985,1562.2430292670094,51331,26.751973306875797
01/24/2018 00:00:00,10798.5,11444.7,10446.9,11332.3,1225,-923.842551452637,29.277277474183837,-3160.6849999999977,1521.9256700336518,52556,36.18926476276507
01/25/2018 00:00:00,11335.9,11662.4,10846.6,11090.8,1042,-925.8906735406508,29.877114770683438,-3008.653823529412,1471.4881221741052,51514,44.14239280776362
01/26/2018 00:00:00,11082.2,11564,10260.5,10847.4,1008,-936.3603911476075,30.73306349873987,-2842.9029411764677,1459.4889705902406,50506,44.57763639382944
01/28/2018 00:00:00,11725.4,11734.4,11611.3,11639.8,4,-870.6809916528,31.31920626649431,-2483.611470588232,1418.5969012623661,50510,48.176099729437034
01/29/2018 00:00:00,11635.2,11723.4,10994.6,11142.1,48,-849.0030462747854,32.187534348341764,-2145.1185294117604,1369.32569402934,50462,51.752005115041655
